transaction_id,transaction_amount,transaction_hour,customer_age,account_age_days,num_previous_transactions,payment_method,device_type,distance_from_home_km,merchant_category,num_items,is_first_purchase,shipping_billing_match,customer_gender,day_of_week,avg_transaction_value_last_30_days,is_fraud
1,49.24,12,33,1822,10,debit_card,desktop,2.72,groceries,1,0,1,M,Tuesday,36.44,0
2,26.09,10,22,558,12,paypal,desktop,11.76,toys,1,0,1,F,Wednesday,25.75,0
3,57.26,4,50,2967,18,credit_card,desktop,100.06,home,2,0,1,F,Monday,66.65,1
4,137.42,7,26,53,13,paypal,mobile,5.67,digital_goods,2,0,1,Other,Tuesday,137.07,0
5,23.71,22,45,3385,15,credit_card,desktop,2.56,electronics,2,0,1,M,Saturday,23.68,0
6,23.71,12,53,2835,18,debit_card,mobile,10.07,digital_goods,6,0,1,M,Monday,17.27,0
7,145.36,7,65,825,12,debit_card,mobile,2.3,groceries,3,0,1,F,Thursday,181.19,0
8,64.55,10,68,1683,18,credit_card,tablet,2.67,groceries,4,0,1,F,Monday,68.38,0
9,18.74,4,42,2514,15,debit_card,desktop,1.12,groceries,4,0,1,F,Wednesday,12.02,0
10,51.55,3,60,3457,14,credit_card,desktop,22.97,beauty,3,0,1,M,Wednesday,65.23,1
11,18.85,10,40,180,12,credit_card,tablet,23.71,toys,4,0,1,M,Wednesday,22.05,0
12,18.81,0,33,1110,15,debit_card,mobile,8.65,home,6,0,1,M,Tuesday,19.06,0
13,38.17,4,62,946,18,credit_card,mobile,32.89,travel,7,0,1,M,Saturday,50.26,1
14,4.42,3,60,765,18,credit_card,desktop,12.03,home,1,0,1,F,Sunday,4.41,0
15,5.34,6,63,3480,12,credit_card,desktop,2.63,home,4,0,1,M,Sunday,5.7,0
16,17.08,18,48,206,18,credit_card,mobile,17.06,electronics,6,0,1,M,Wednesday,19.92,0
17,10.88,17,25,2533,14,credit_card,desktop,16.29,groceries,4,0,1,M,Wednesday,10.47,0
18,41.03,7,32,2608,17,credit_card,mobile,8.86,electronics,1,0,1,M,Wednesday,28.83,1
19,12.09,4,40,2333,15,debit_card,desktop,25.18,clothing,5,0,1,F,Sunday,10.22,0
20,7.3,3,30,1467,18,paypal,desktop,2.18,home,4,0,1,,Wednesday,8.44,0
21,129.76,23,37,1677,15,wallet,mobile,6.62,clothing,4,0,1,F,Saturday,179.07,0
22,23.91,2,18,1524,18,paypal,tablet,8.5,electronics,1,0,1,F,Saturday,25.98,0
23,32.06,4,23,2820,19,debit_card,mobile,14.29,home,4,0,1,M,Tuesday,36.54,0
24,7.21,16,41,2894,14,debit_card,mobile,1.72,travel,3,0,1,M,Saturday,6.03,0
25,17.39,7,58,3169,15,credit_card,desktop,18.71,clothing,3,0,1,F,Tuesday,20.25,0
26,33.48,16,68,1323,15,credit_card,mobile,7.85,home,1,0,1,M,Wednesday,31.23,0
27,9.48,23,24,2654,15,debit_card,desktop,1.85,clothing,4,0,1,M,Saturday,6.91,0
28,43.63,16,69,651,14,debit_card,desktop,12.19,electronics,5,0,1,F,Tuesday,32.33,0
29,16.43,7,46,297,16,credit_card,tablet,11.64,toys,1,0,1,F,Sunday,12.13,0
30,22.38,9,43,2391,13,credit_card,desktop,28.99,clothing,4,0,1,M,Sunday,24.61,0
31,16.42,13,61,1848,18,debit_card,desktop,8.12,groceries,4,0,1,M,Monday,16.29,0
32,191.0,8,71,2547,12,debit_card,tablet,1.32,electronics,2,0,1,M,Friday,236.39,0
33,29.56,14,23,1665,11,credit_card,mobile,35.41,beauty,2,0,1,M,Sunday,38.18,0
34,10.41,23,56,2526,18,debit_card,desktop,10.48,toys,5,0,0,M,Saturday,14.37,0
35,68.21,16,30,3385,19,credit_card,mobile,22.69,beauty,6,0,1,M,Friday,94.27,0
36,8.84,6,44,1856,11,debit_card,mobile,29.83,groceries,4,0,1,F,Monday,10.16,0
37,36.92,0,28,516,12,wallet,mobile,12.53,travel,5,0,1,M,Thursday,26.87,0
38,4.22,17,54,944,19,paypal,mobile,0.7,beauty,5,0,1,F,Sunday,5.41,0
39,7.94,8,53,2240,16,paypal,desktop,22.83,home,4,0,1,F,Saturday,10.7,0
40,36.48,5,19,2072,18,paypal,desktop,1.28,groceries,5,0,1,M,Thursday,28.42,0
41,62.71,11,61,3469,21,debit_card,desktop,27.31,digital_goods,1,0,1,M,Tuesday,74.24,0
42,35.57,19,50,2865,13,credit_card,mobile,5.63,electronics,3,0,1,F,Thursday,40.81,0
43,26.69,17,59,2615,22,paypal,desktop,0.51,beauty,5,0,1,F,Sunday,19.46,0
44,22.17,22,18,3414,14,paypal,mobile,10.46,clothing,2,0,1,F,Thursday,25.65,0
45,6.83,5,40,2445,15,credit_card,desktop,0.01,beauty,1,0,0,Other,Sunday,7.8,1
46,14.59,11,52,2327,16,paypal,desktop,1.37,groceries,4,0,1,M,Friday,13.31,0
47,18.9,23,26,2397,16,credit_card,desktop,49.84,electronics,2,0,1,F,Friday,24.13,0
48,86.24,23,24,875,21,credit_card,mobile,34.61,home,3,0,1,M,Wednesday,87.25,0
49,42.25,19,43,2341,10,credit_card,desktop,8.68,clothing,4,0,1,F,Thursday,36.09,0
50,5.14,22,48,2986,10,debit_card,tablet,10.49,digital_goods,8,0,1,F,Friday,6.4,0
51,41.43,6,40,2997,14,paypal,mobile,2.43,home,2,0,1,F,Wednesday,39.44,0
52,20.39,4,30,3174,15,paypal,mobile,18.45,digital_goods,4,0,1,M,Tuesday,27.6,0
53,15.23,15,21,681,15,debit_card,desktop,4.17,home,5,0,0,M,Friday,15.55,0
54,55.24,8,56,728,19,paypal,desktop,0.18,clothing,4,0,0,M,Wednesday,37.11,0
55,84.02,0,55,809,7,debit_card,desktop,13.09,groceries,2,0,1,F,Tuesday,92.48,0
56,76.04,6,22,3269,15,paypal,desktop,11.4,electronics,3,0,1,M,Wednesday,105.68,0
57,12.95,10,20,3554,19,credit_card,mobile,2.08,clothing,4,0,1,F,Thursday,16.68,0
58,21.99,0,31,2106,15,debit_card,mobile,105.19,groceries,5,0,1,F,Saturday,26.1,0
59,41.73,18,52,829,14,credit_card,mobile,13.61,toys,4,0,0,F,Tuesday,47.93,0
60,79.48,17,55,1858,18,credit_card,desktop,30.71,electronics,1,0,1,F,Tuesday,76.05,0
61,18.56,10,57,1667,17,credit_card,mobile,13.69,digital_goods,3,0,1,,Tuesday,23.45,0
62,24.89,11,67,381,18,credit_card,mobile,16.88,groceries,2,0,1,M,Saturday,32.23,0
63,9.91,10,37,1980,15,wallet,tablet,6.5,clothing,5,0,1,M,Sunday,11.42,0
64,9.06,20,20,1973,19,wallet,desktop,17.1,electronics,5,0,1,F,Sunday,8.95,0
65,67.53,7,72,938,6,credit_card,mobile,13.93,home,5,0,1,F,Saturday,52.84,0
66,116.31,15,59,7,15,credit_card,mobile,12.42,travel,3,1,1,M,Wednesday,,0
67,27.88,21,28,1334,21,credit_card,desktop,2.12,home,4,0,1,M,Sunday,19.92,0
68,81.74,11,61,3315,22,paypal,mobile,1.06,beauty,2,0,0,F,Thursday,101.91,1
69,43.02,16,39,1643,18,credit_card,mobile,9.33,beauty,5,0,1,M,Wednesday,54.42,0
70,15.72,12,47,290,13,credit_card,mobile,32.88,groceries,6,0,1,F,Saturday,21.33,0
71,43.01,17,24,3181,12,credit_card,desktop,13.55,groceries,6,0,1,F,Thursday,51.38,0
72,139.5,11,62,378,10,debit_card,mobile,24.03,electronics,7,0,1,M,Thursday,138.0,0
73,28.91,23,74,3643,10,wallet,desktop,16.86,groceries,4,0,0,F,Thursday,25.41,0
74,143.26,13,40,2350,13,paypal,mobile,39.67,travel,1,0,1,M,Friday,145.27,0
75,2.18,4,69,2889,14,credit_card,mobile,0.26,beauty,1,0,1,M,Monday,1.93,0
76,68.16,13,33,2501,15,paypal,mobile,23.94,home,2,0,1,F,Saturday,52.98,0
77,32.69,8,69,1395,11,debit_card,desktop,1.01,beauty,3,0,1,M,Thursday,38.25,0
78,22.22,19,35,2381,14,credit_card,mobile,19.33,clothing,1,0,1,F,Tuesday,27.37,0
79,32.84,14,50,1969,21,credit_card,mobile,83.14,electronics,1,0,0,M,Saturday,45.32,0
80,4.11,2,27,2922,20,credit_card,desktop,3.25,home,1,0,1,M,Saturday,4.72,0
81,24.05,21,71,2053,14,credit_card,desktop,4.06,electronics,6,0,0,F,Sunday,20.22,0
82,42.82,9,29,519,13,debit_card,tablet,3.49,clothing,4,0,1,F,Thursday,56.82,0
83,131.35,8,27,111,15,paypal,mobile,2.5,clothing,5,0,1,F,Sunday,167.88,0
84,17.85,5,47,984,13,debit_card,mobile,12.57,home,1,0,1,F,Monday,10.98,0
85,13.35,15,26,1575,17,credit_card,mobile,4.52,electronics,4,0,1,M,Sunday,12.9,0
86,18.14,11,68,1052,25,debit_card,mobile,18.75,digital_goods,4,0,1,M,Monday,21.06,0
87,74.84,10,69,376,22,debit_card,desktop,0.56,electronics,3,0,1,F,Saturday,91.31,0
88,41.63,23,22,857,9,credit_card,desktop,42.94,groceries,1,0,1,M,Friday,51.92,0
89,17.64,5,41,1717,18,credit_card,mobile,3.92,beauty,6,0,1,M,Monday,21.77,0
90,50.06,1,67,74,20,debit_card,mobile,15.05,beauty,8,0,1,F,Sunday,66.2,1
91,33.02,6,69,2195,14,credit_card,desktop,0.84,groceries,2,0,0,M,Thursday,39.99,0
92,78.94,22,60,3549,16,debit_card,mobile,26.54,groceries,3,0,1,F,Tuesday,61.79,0
93,14.85,8,64,11,18,credit_card,mobile,24.42,home,2,1,1,M,Friday,,0
94,21.59,7,71,13,16,credit_card,desktop,12.92,groceries,3,1,1,F,Monday,,0
95,20.24,15,60,3236,15,credit_card,desktop,1.25,beauty,6,0,1,F,Friday,20.47,0
96,6.93,22,68,1109,19,debit_card,tablet,26.12,travel,3,0,1,M,Monday,9.6,0
97,40.29,0,49,1168,22,paypal,desktop,31.16,clothing,1,0,1,M,Friday,30.11,0
98,38.9,3,45,2686,8,credit_card,desktop,43.53,electronics,1,0,1,F,Tuesday,31.28,0
99,30.12,15,42,2175,12,debit_card,mobile,52.78,groceries,5,0,1,F,Monday,36.88,0
100,23.7,8,65,1381,17,debit_card,desktop,17.46,beauty,1,0,1,M,Tuesday,26.25,0
101,7.28,21,65,1920,14,debit_card,mobile,24.43,clothing,5,0,1,M,Wednesday,7.82,0
102,19.68,16,56,1397,10,credit_card,mobile,11.57,electronics,3,0,1,F,Sunday,11.81,0
103,21.27,6,50,2655,11,credit_card,desktop,3.87,clothing,4,0,1,M,Tuesday,27.79,0
104,13.43,22,20,868,13,credit_card,mobile,14.0,digital_goods,2,0,1,F,Wednesday,9.12,0
105,25.5,3,36,815,14,debit_card,desktop,0.86,home,2,0,1,F,Monday,15.55,0
106,44.88,6,69,1225,13,credit_card,mobile,39.49,home,2,0,1,M,Friday,47.12,0
107,197.59,23,69,1729,19,credit_card,mobile,29.23,home,1,0,1,F,Sunday,159.5,0
108,35.68,20,25,1264,18,debit_card,mobile,11.84,home,2,0,1,M,Tuesday,41.25,0
109,38.77,17,26,1130,11,credit_card,mobile,4.51,digital_goods,6,0,1,M,Monday,40.88,0
110,27.81,8,56,2792,18,credit_card,desktop,1.18,travel,3,0,0,M,Friday,31.9,0
111,4.4,15,47,563,13,credit_card,mobile,15.59,digital_goods,1,0,1,,Saturday,5.67,0
112,29.18,3,45,570,18,credit_card,mobile,18.85,electronics,4,0,1,M,Friday,33.02,0
113,31.82,16,55,2634,16,wallet,mobile,7.27,travel,3,0,0,F,Wednesday,25.86,0
114,351.86,15,41,2245,14,wallet,desktop,63.52,beauty,2,0,1,M,Monday,430.64,1
115,24.72,15,25,3582,15,debit_card,mobile,13.33,beauty,2,0,1,M,Tuesday,30.22,0
116,40.51,10,53,2129,15,debit_card,mobile,7.65,home,1,0,1,F,Wednesday,36.27,0
117,28.94,4,74,3571,13,debit_card,mobile,18.14,home,1,0,1,M,Wednesday,22.33,0
118,9.31,15,31,991,24,wallet,desktop,18.16,beauty,3,0,1,M,Tuesday,7.27,0
119,93.96,1,74,3348,11,debit_card,mobile,19.17,digital_goods,2,0,1,M,Sunday,60.97,0
120,63.56,8,53,2242,12,credit_card,desktop,20.98,groceries,2,0,1,F,Sunday,77.18,0
121,66.09,23,51,1582,14,credit_card,mobile,18.37,digital_goods,3,0,1,F,Saturday,64.4,0
122,12.07,9,39,1339,13,wallet,mobile,7.44,home,6,0,1,F,Monday,10.85,0
123,121.85,8,19,2532,17,credit_card,desktop,6.89,beauty,2,0,1,M,Wednesday,122.75,0
124,7.38,10,68,1390,13,debit_card,mobile,4.55,beauty,3,0,1,F,Monday,6.25,0
125,53.89,14,34,1037,17,debit_card,tablet,17.68,clothing,2,0,1,M,Wednesday,58.31,0
126,267.86,2,34,2724,9,credit_card,mobile,35.23,electronics,2,0,1,M,Sunday,316.84,0
127,11.13,17,57,2399,13,debit_card,mobile,4.24,home,1,0,1,M,Sunday,13.7,0
128,17.01,3,28,2216,13,credit_card,mobile,49.5,clothing,6,0,1,M,Sunday,11.45,0
129,33.1,2,47,1230,8,credit_card,mobile,16.33,groceries,2,0,1,F,Monday,44.2,0
130,18.11,9,71,1744,23,credit_card,mobile,8.44,toys,1,0,1,F,Saturday,13.38,0
131,6.36,14,20,2152,18,debit_card,desktop,16.33,groceries,5,0,1,M,Saturday,8.06,0
132,32.09,20,67,3417,13,credit_card,desktop,13.12,groceries,1,0,1,M,Wednesday,29.4,0
133,10.36,1,43,1646,15,debit_card,mobile,4.14,clothing,6,0,1,F,Saturday,14.0,0
134,48.11,4,53,2921,11,debit_card,desktop,29.14,beauty,1,0,1,F,Friday,47.87,0
135,11.95,14,29,1023,18,wallet,mobile,2.45,electronics,3,0,1,M,Monday,7.91,0
136,141.17,12,25,3593,11,paypal,desktop,3.15,toys,4,0,1,F,Wednesday,117.42,0
137,13.69,12,66,3013,21,credit_card,desktop,12.28,electronics,4,0,1,F,Monday,19.1,0
138,21.71,7,18,2340,9,debit_card,tablet,8.56,travel,5,0,1,F,Tuesday,14.67,0
139,67.59,15,32,529,18,debit_card,desktop,21.26,travel,3,0,1,M,Sunday,92.17,0
140,8.75,8,22,457,13,credit_card,mobile,3.93,groceries,7,0,1,,Tuesday,6.69,0
141,37.62,7,31,3058,18,credit_card,mobile,6.94,electronics,3,0,1,M,Thursday,34.2,0
142,110.74,15,20,1600,13,credit_card,mobile,6.09,beauty,1,0,1,F,Monday,128.15,0
143,6.0,1,51,2800,25,credit_card,mobile,5.43,electronics,4,0,1,Other,Friday,7.68,0
144,36.04,2,25,2513,14,credit_card,desktop,28.68,beauty,4,0,1,,Tuesday,21.67,1
145,38.86,9,31,3643,16,credit_card,mobile,18.06,groceries,4,0,1,M,Saturday,27.17,0
146,65.49,19,68,1775,23,credit_card,mobile,17.51,groceries,4,0,1,F,Wednesday,48.42,0
147,8.7,5,69,676,11,debit_card,mobile,4.65,clothing,2,0,1,F,Thursday,11.37,0
148,8.0,3,54,1902,19,paypal,mobile,25.42,groceries,3,0,1,F,Saturday,8.51,0
149,50.5,16,45,2884,19,paypal,desktop,30.54,travel,5,0,0,M,Sunday,37.12,0
150,40.33,8,69,2032,21,debit_card,desktop,9.11,travel,2,0,0,F,Sunday,36.9,1
151,38.49,1,23,2460,16,wallet,desktop,1.48,home,1,0,1,F,Tuesday,35.3,0
152,42.37,13,70,1259,9,credit_card,mobile,3.04,clothing,4,0,1,M,Monday,43.12,0
153,15.18,3,27,1985,15,wallet,desktop,3.85,electronics,3,0,1,F,Monday,14.64,0
154,37.8,15,20,2313,7,debit_card,mobile,25.73,electronics,3,0,1,M,Tuesday,48.64,0
155,40.17,21,24,1273,13,credit_card,tablet,7.01,groceries,2,0,1,F,Saturday,43.36,0
156,14.67,7,45,993,19,debit_card,mobile,0.19,groceries,4,0,1,M,Monday,15.45,0
157,193.6,22,19,1694,20,credit_card,mobile,15.76,groceries,5,0,1,M,Wednesday,164.34,0
158,48.13,10,62,1139,8,credit_card,mobile,7.26,beauty,2,0,1,F,Monday,57.06,0
159,9.1,1,31,2753,14,credit_card,mobile,0.32,home,1,0,1,F,Wednesday,5.58,0
160,57.77,13,47,1961,9,credit_card,desktop,6.35,home,2,0,1,Other,Sunday,51.6,0
161,11.31,17,68,3534,7,debit_card,mobile,12.33,electronics,3,0,1,M,Friday,8.12,0
162,65.83,17,32,3383,15,credit_card,mobile,31.34,electronics,4,0,1,M,Friday,85.66,0
163,95.45,15,51,2607,12,wallet,desktop,31.93,beauty,6,0,1,M,Sunday,126.53,0
164,13.19,15,36,1227,14,debit_card,mobile,5.08,home,3,0,1,M,Friday,17.45,0
165,78.52,16,58,3403,17,credit_card,mobile,3.71,clothing,2,0,1,F,Tuesday,109.21,0
166,45.28,17,27,2686,10,credit_card,mobile,14.28,toys,4,0,1,M,Tuesday,40.84,0
167,68.17,15,58,1782,16,debit_card,mobile,2.35,home,3,0,1,M,Wednesday,45.44,0
168,199.7,5,60,676,13,credit_card,desktop,14.26,electronics,1,0,1,M,Sunday,243.63,0
169,23.44,17,45,63,15,wallet,desktop,12.31,travel,4,0,0,F,Sunday,28.96,0
170,14.1,20,71,2237,13,paypal,mobile,2.73,electronics,2,0,1,M,Sunday,9.08,0
171,12.31,9,73,1024,18,paypal,desktop,11.26,electronics,2,0,1,F,Monday,9.7,0
172,13.25,15,27,1620,15,debit_card,desktop,14.56,beauty,6,0,1,F,Wednesday,13.46,0
173,27.74,21,74,589,15,credit_card,mobile,2.55,electronics,6,0,1,,Friday,29.61,0
174,42.15,20,45,95,13,debit_card,desktop,1.87,travel,3,0,1,Other,Thursday,44.81,0
175,39.52,18,69,1986,14,wallet,desktop,3.51,home,5,0,1,M,Thursday,42.48,0
176,68.52,3,69,2552,12,debit_card,mobile,4.19,digital_goods,2,0,1,F,Thursday,71.54,0
177,30.36,22,18,1875,12,paypal,desktop,4.92,home,2,0,1,M,Thursday,24.59,0
178,128.19,16,62,882,16,credit_card,desktop,3.93,clothing,8,0,1,M,Monday,138.86,0
179,23.0,7,28,3456,12,debit_card,mobile,21.58,travel,3,0,1,M,Sunday,23.38,0
180,454.94,4,45,732,12,paypal,tablet,3.95,groceries,5,0,1,F,Monday,431.46,0
181,56.02,6,59,3535,17,credit_card,mobile,7.83,travel,5,1,1,F,Friday,,0
182,12.72,23,22,968,23,debit_card,desktop,12.37,clothing,2,0,1,F,Monday,16.7,0
183,10.27,15,60,734,13,debit_card,tablet,48.44,groceries,2,0,1,M,Thursday,13.65,0
184,48.54,21,70,1195,18,debit_card,mobile,47.22,travel,1,0,0,F,Wednesday,53.07,0
185,23.96,4,31,2850,14,paypal,desktop,11.27,toys,5,0,1,M,Monday,16.82,0
186,61.19,9,72,3294,15,paypal,mobile,11.07,beauty,1,0,1,F,Wednesday,81.01,0
187,48.1,23,68,1747,17,debit_card,desktop,12.9,groceries,2,0,1,M,Wednesday,42.52,0
188,27.86,21,59,2473,15,debit_card,desktop,7.55,clothing,5,0,1,M,Sunday,23.97,0
189,12.85,10,57,1980,16,debit_card,mobile,8.49,home,4,0,1,F,Tuesday,11.18,0
190,6.59,4,50,2328,10,credit_card,mobile,21.54,travel,2,0,1,Other,Sunday,7.84,0
191,19.17,15,52,1343,18,credit_card,desktop,7.7,clothing,1,0,0,M,Friday,19.08,0
192,70.56,2,73,1640,19,credit_card,desktop,4.0,beauty,5,0,1,M,Monday,49.14,0
193,37.12,10,40,2943,20,debit_card,mobile,20.23,toys,6,0,1,M,Thursday,25.61,0
194,8.62,0,33,1494,10,debit_card,mobile,17.56,home,2,0,1,F,Friday,11.11,0
195,35.63,5,43,1375,11,credit_card,mobile,7.33,groceries,7,0,1,F,Saturday,40.78,0
196,44.05,1,18,25,12,debit_card,desktop,28.14,digital_goods,4,0,1,M,Monday,57.51,0
197,12.38,13,32,1824,18,paypal,mobile,7.53,clothing,1,0,1,Other,Sunday,16.92,0
